id,name,state,zip,website
616,SETTING THE STANDARD BARBERING AND NATURAL HAIR ACADEMY,LA,71109,www.sts-academy.com/
617,CHAMPLAIN COLLEGE,VT,05401,www.champlain.edu/
618,WESTERN NEVADA COLLEGE,NV,89703,www.wnc.edu/
619,CONCORDIA UNIVERSITY-ANN ARBOR,MI,48105,https://www.cuaa.edu/
620,BRYANT & STRATTON COLLEGE-WAUWATOSA,WI,53226,https://www.bryantstratton.edu/
621,MILAN INSTITUTE OF COSMETOLOGY-FAIRFIELD,CA,94533,www.milaninstitute.edu/
622,CET-COLTON,CA,92324,https://cetweb.edu/
623,SIMPSON UNIVERSITY,CA,96003,www.simpsonu.edu/
624,EDMONDS COLLEGE,WA,98036,www.edcc.edu/
625,UNIVERSITY OF CONNECTICUT-AVERY POINT,CT,06340,averypoint.uconn.edu/
626,AMERICAN INDIAN OIC INC,MN,55404,www.aioic.org/
627,HENDERSON STATE UNIVERSITY,AR,71999,https://www.hsu.edu/
628,HANDS ON THERAPY,TX,75149,www.handsontherapyschools.com/
629,UNIVERSITY OF MAINE AT MACHIAS,ME,04654,machias.edu/
630,MOUNT CARMEL COLLEGE OF NURSING,OH,43222,www.mccn.edu/
631,ANTIOCH UNIVERSITY-SEATTLE,WA,98121,www.antiochseattle.edu/
632,SAMUEL MERRITT UNIVERSITY,CA,94609,www.samuelmerritt.edu/
633,UPPER VALLEY EDUCATORS INSTITUTE,NH,03766,www.uvei.edu/
634,MIDWEST COLLEGE OF ORIENTAL MEDICINE-EVANSTON,IL,60201,www.acupuncture.edu/
635,PCI COLLEGE,CA,90703,www.pci-ed.com/
636,PITTSBURGH TECHNICAL COLLEGE,PA,15071,www.ptcollege.edu/
637,NORTHPOINT BIBLE COLLEGE,MA,01835,www.northpoint.edu/
638,TENNESSEE WESLEYAN UNIVERSITY,TN,37303,www.tnwesleyan.edu/
639,MERCY HOSPITAL SCHOOL OF PRACTICAL NURSING-PLANTATION GENERAL HOSPITAL,FL,33133,mercymiami.com/professionals/school-of-practical-nursing
640,LINCOLN TECHNICAL INSTITUTE-PARAMUS,NJ,07652,www.lincolntech.edu/campus/paramus-nj
641,AVEDA INSTITUTE-NEW YORK,NY,10013,avedaarts.edu/
642,SAMARITAN HOSPITAL SCHOOL OF NURSING,NY,12065,https://www.sphp.com/careers/schools-of-nursing/
643,VANGUARD COLLEGE OF COSMETOLOGY-METAIRIE,LA,70002,paulmitchell.edu/metairie
644,NEW YORK SCHOOL FOR MEDICAL AND DENTAL ASSISTANTS,NY,11101,nysmda.com/
645,UNIVERSAL TECHNICAL INSTITUTE OF ILLINOIS INC,IL,60532,www.uti.edu/
646,ROB ROY ACADEMY-WORCESTER,MA,01609,www.rob-roy.com/
647,UNIVERSITY OF ARKANSAS-PULASKI TECHNICAL COLLEGE,AR,72118,uaptc.edu/
648,ALASKA CHRISTIAN COLLEGE,AK,99669,www.alaskacc.edu/
649,UNIVERSAL SPA TRAINING ACADEMY,IL,60515,www.spatrainingacademy.edu/
650,NATIONAL AMERICAN UNIVERSITY-BELLEVUE,NE,68123,www.national.edu/locations/campuses/bellevue/
651,MYCOMPUTERCAREER.EDU-RALEIGH,NC,27606,www.mycomputercareer.edu/
652,EDUCATORS OF BEAUTY COLLEGE OF COSMETOLOGY-ROCKFORD,IL,61114,www.educatorsofbeauty.com/
653,BERGIN UNIVERSITY OF CANINE STUDIES,CA,94951,www.berginu.edu/
654,CAPILO SCHOOL OF HAIR DESIGN,ME,04330,www.capilo.com/
655,EDGEWOOD COLLEGE,WI,53711,www.edgewood.edu/
656,CULINARY INSTITUTE INC,TX,77022,www.culinaryinstitute.edu/
657,MUHLENBERG COLLEGE,PA,18104,www.muhlenberg.edu/
658,ARLINGTON BAPTIST UNIVERSITY,TX,76012,https://abu.edu/
659,EMPIRE BEAUTY SCHOOL-LEHIGH VALLEY,PA,18052,www.empire.edu/
660,CALIFORNIA STATE UNIVERSITY-CHICO,CA,95929,www.csuchico.edu/
661,UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN,IL,61820,www.illinois.edu/
662,ST. JOHN'S COLLEGE-DEPARTMENT OF NURSING,IL,62702,https://www.sjcs.edu/
663,AVEDA ARTS & SCIENCES INSTITUTE-BATON ROUGE,LA,70816,avedaarts.edu/
664,CONCORDE CAREER COLLEGE-GARDEN GROVE,CA,92840,https://www.concorde.edu/campus/garden-grove-california
665,WOODBURY UNIVERSITY,CA,91504,https://woodbury.edu/
